tournament,year,start_date,team,win_rate,goals_per_game,goals_conceded_per_game,fifa_rank,is_host,confederation,is_winner
World Cup 1998,1998,1998-06-10,Brazil,0.7297297297297297,2.4864864864864864,0.7567567567567568,1.0,0,CONMEBOL,0
World Cup 1998,1998,1998-06-10,Morocco,0.64,2.08,0.64,13.0,0,CAF,0
World Cup 1998,1998,1998-06-10,Cameroon,0.42424242424242425,1.2424242424242424,1.0909090909090908,49.0,0,CAF,0
World Cup 1998,1998,1998-06-10,Italy,0.47619047619047616,1.4285714285714286,0.7619047619047619,14.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,France,0.5217391304347826,1.3478260869565217,0.6956521739130435,18.0,1,UEFA,1
World Cup 1998,1998,1998-06-10,Paraguay,0.3939393939393939,1.2424242424242424,1.1515151515151516,29.0,0,CONMEBOL,0
World Cup 1998,1998,1998-06-10,Saudi Arabia,0.5306122448979592,1.6122448979591837,1.0204081632653061,34.0,0,AFC,0
World Cup 1998,1998,1998-06-10,South Korea,0.5918367346938775,2.0816326530612246,0.9591836734693877,200.0,0,Unknown,0
World Cup 1998,1998,1998-06-10,Netherlands,0.6,2.45,0.8,25.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Spain,0.6470588235294118,2.235294117647059,0.6470588235294118,15.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Argentina,0.5555555555555556,1.5925925925925926,0.7037037037037037,6.0,0,CONMEBOL,0
World Cup 1998,1998,1998-06-10,Jamaica,0.41818181818181815,1.309090909090909,0.8545454545454545,30.0,0,CONCACAF,0
World Cup 1998,1998,1998-06-10,Serbia,0.56,2.16,0.8,200.0,0,Unknown,0
World Cup 1998,1998,1998-06-10,England,0.625,1.5,0.375,5.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Germany,0.68,2.16,0.6,2.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Romania,0.6190476190476191,2.5238095238095237,0.8095238095238095,22.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Scotland,0.47368421052631576,1.105263157894737,0.631578947368421,41.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Chile,0.4375,1.84375,1.1875,9.0,0,CONMEBOL,0
World Cup 1998,1998,1998-06-10,South Africa,0.35714285714285715,1.2142857142857142,1.2142857142857142,24.0,0,CAF,0
World Cup 1998,1998,1998-06-10,Nigeria,0.375,1.0,1.3125,74.0,0,CAF,0
World Cup 1998,1998,1998-06-10,Belgium,0.5555555555555556,1.7222222222222223,1.1111111111111112,36.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Japan,0.5238095238095238,2.5,1.0476190476190477,12.0,0,AFC,0
World Cup 1998,1998,1998-06-10,United States,0.41025641025641024,1.3076923076923077,1.0,11.0,0,CONCACAF,0
World Cup 1998,1998,1998-06-10,Colombia,0.3333333333333333,1.2666666666666666,1.3,10.0,0,CONMEBOL,0
World Cup 1998,1998,1998-06-10,Norway,0.65,2.35,0.7,7.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Austria,0.6666666666666666,1.8,0.8666666666666667,31.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Bulgaria,0.5882352941176471,1.7058823529411764,1.0588235294117647,35.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Denmark,0.5625,1.3125,1.0,27.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Mexico,0.44680851063829785,1.851063829787234,1.1702127659574468,4.0,0,CONCACAF,0
World Cup 1998,1998,1998-06-10,Croatia,0.47619047619047616,2.142857142857143,1.2857142857142858,19.0,0,UEFA,0
World Cup 1998,1998,1998-06-10,Iran,0.5116279069767442,2.5348837209302326,0.813953488372093,200.0,0,Unknown,0
World Cup 1998,1998,1998-06-10,Tunisia,0.6071428571428571,1.5,0.75,21.0,0,CAF,0
World Cup 2002,2002,2002-05-31,France,0.6333333333333333,2.2333333333333334,0.8333333333333334,1.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Germany,0.5769230769230769,2.576923076923077,1.3076923076923077,11.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Republic of Ireland,0.6190476190476191,2.0476190476190474,0.7142857142857143,15.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Uruguay,0.41935483870967744,1.2903225806451613,0.9032258064516129,24.0,0,CONMEBOL,0
World Cup 2002,2002,2002-05-31,Argentina,0.6666666666666666,2.0,0.8571428571428571,3.0,0,CONMEBOL,0
World Cup 2002,2002,2002-05-31,England,0.4583333333333333,1.7916666666666667,1.0,12.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Paraguay,0.36666666666666664,1.4,1.3333333333333333,18.0,0,CONMEBOL,0
World Cup 2002,2002,2002-05-31,Spain,0.5652173913043478,1.826086956521739,1.0434782608695652,8.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Brazil,0.5428571428571428,1.9428571428571428,0.8285714285714286,2.0,0,CONMEBOL,1
World Cup 2002,2002,2002-05-31,Croatia,0.4444444444444444,1.4444444444444444,0.5555555555555556,21.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Italy,0.625,1.4166666666666667,0.5833333333333334,6.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,China PR,0.47368421052631576,1.868421052631579,0.9736842105263158,50.0,0,AFC,0
World Cup 2002,2002,2002-05-31,Japan,0.5151515151515151,1.7575757575757576,0.9696969696969697,32.0,0,AFC,0
World Cup 2002,2002,2002-05-31,South Korea,0.4186046511627907,1.302325581395349,1.1162790697674418,200.0,1,Unknown,0
World Cup 2002,2002,2002-05-31,Russia,0.47619047619047616,1.4285714285714286,0.7619047619047619,28.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,United States,0.5263157894736842,1.631578947368421,0.7368421052631579,13.0,0,CONCACAF,0
World Cup 2002,2002,2002-05-31,Cameroon,0.5555555555555556,1.4074074074074074,0.6296296296296297,17.0,0,CAF,0
World Cup 2002,2002,2002-05-31,Denmark,0.5416666666666666,1.6666666666666667,1.0416666666666667,20.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Sweden,0.43333333333333335,1.5666666666666667,0.7,19.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,South Africa,0.45714285714285713,1.0857142857142856,0.8857142857142857,37.0,0,CAF,0
World Cup 2002,2002,2002-05-31,Costa Rica,0.5,1.631578947368421,1.0789473684210527,29.0,0,CONCACAF,0
World Cup 2002,2002,2002-05-31,Mexico,0.52,1.62,1.12,7.0,0,CONCACAF,0
World Cup 2002,2002,2002-05-31,Portugal,0.68,2.64,0.96,5.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Tunisia,0.39285714285714285,1.8214285714285714,0.8928571428571429,31.0,0,CAF,0
World Cup 2002,2002,2002-05-31,Saudi Arabia,0.66,2.14,0.84,34.0,0,AFC,0
World Cup 2002,2002,2002-05-31,Senegal,0.5,1.2333333333333334,0.5666666666666667,42.0,0,CAF,0
World Cup 2002,2002,2002-05-31,Nigeria,0.6129032258064516,1.6451612903225807,0.6129032258064516,27.0,0,CAF,0
World Cup 2002,2002,2002-05-31,Slovenia,0.4,1.32,1.12,25.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Ecuador,0.47058823529411764,1.1470588235294117,0.8529411764705882,36.0,0,CONMEBOL,0
World Cup 2002,2002,2002-05-31,Turkey,0.4,1.2,0.96,22.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Belgium,0.5454545454545454,1.8636363636363635,0.9545454545454546,23.0,0,UEFA,0
World Cup 2002,2002,2002-05-31,Poland,0.5,1.7272727272727273,1.0454545454545454,38.0,0,UEFA,0
